start_frame,end_frame,type,from_team,from_player,to_team,to_player,pass_outcome
2215,2215,PASS,Away,163972,Away,38673,successful
2231,2231,PASS,Away,38673,Away,23418,successful
2247,2247,PASS,Away,23418,Away,33697,successful
2275,2275,PASS,Away,33697,Away,163972,successful
2511,2511,PASS,Home,159946,Home,957737,successful
2541,2541,PASS,Home,957737,Home,795529,successful
2689,2689,PASS,Away,582974,Away,38673,successful
2696,2696,PASS,Away,38673,Away,14736,successful
3076,3076,PASS,Home,560917,Home,795529,unsuccessful
3098,3098,PASS,Away,51667,Away,23418,unsuccessful
3124,3124,PASS,Home,560917,Home,26844,successful
3164,3164,PASS,Home,26844,Home,23883,successful
3201,3201,PASS,Home,23883,Home,159946,successful
3233,3233,PASS,Home,159946,Home,957737,successful
3259,3259,PASS,Home,957737,Home,23922,successful
3338,3338,PASS,Home,23922,Home,51008,successful
3370,3370,PASS,Home,51008,Home,560917,successful
3388,3388,PASS,Home,560917,Home,51008,successful
3399,3399,PASS,Home,51008,Home,23883,successful
3437,3437,PASS,Home,23883,Home,560917,successful
3450,3450,PASS,Home,560917,Home,51675,successful
3459,3459,PASS,Home,51675,Home,,unsuccessful
3882,3882,PASS,Home,23922,Home,795527,successful
3897,3897,PASS,Home,795527,Home,51675,successful
3904,3904,PASS,Home,51675,Home,23922,successful
3919,3919,PASS,Home,23922,Home,957737,successful
3949,3949,PASS,Home,957737,Home,159946,successful
3969,3969,PASS,Home,159946,Home,957737,successful
3991,3991,PASS,Home,957737,Home,23922,successful
4012,4012,PASS,Home,23922,Home,957737,successful
4042,4042,PASS,Home,957737,Home,159946,successful
4069,4069,PASS,Home,159946,Home,23883,successful
4103,4103,PASS,Home,23883,Home,,successful
4161,4161,PASS,Away,51667,Away,285188,successful
4351,4351,PASS,Away,285188,Away,4322,successful
4396,4396,PASS,Away,4322,Away,14736,successful
4404,4404,PASS,Away,14736,Away,51667,successful
4428,4428,PASS,Away,51667,Away,285188,successful
4453,4453,PASS,Away,285188,Away,133501,unsuccessful
4480,4480,PASS,Home,23922,Home,51675,successful
4512,4512,PASS,Away,51667,Away,582974,unsuccessful
4532,4532,PASS,Home,51008,Home,,unsuccessful
4562,4562,PASS,Away,38673,Away,133501,unsuccessful
4652,4652,PASS,Home,23922,Home,795527,successful
4663,4663,PASS,Home,795527,Home,560916,successful
4683,4683,PASS,Home,560916,Home,,unsuccessful
4709,4709,PASS,Away,4322,Away,133501,unsuccessful
4755,4755,PASS,Home,51675,Home,795529,unsuccessful
4799,4799,PASS,Away,23418,Away,285188,successful
4836,4836,PASS,Away,285188,Away,33697,successful
4850,4850,PASS,Away,33697,Away,285188,successful
4874,4874,PASS,Away,285188,Away,33697,successful
4900,4900,PASS,Away,33697,Away,582974,successful
4926,4926,PASS,Away,582974,Away,133498,successful
4941,4941,PASS,Away,133498,Away,38673,unsuccessful
4964,4964,PASS,Home,23883,Home,51675,successful
4979,4979,PASS,Home,51675,Home,560916,successful
5003,5003,PASS,Home,560916,Home,795527,successful
5017,5017,PASS,Home,795527,Home,51675,successful
5035,5035,PASS,Home,51675,Home,560917,successful
5058,5058,PASS,Home,560917,Home,957737,successful
5083,5083,PASS,Home,957737,Home,23922,successful
5112,5112,PASS,Home,23922,Home,957737,successful
5132,5132,PASS,Home,957737,Home,51675,successful
5193,5193,PASS,Home,51675,Home,23922,successful
5214,5214,PASS,Home,23922,Home,560916,unsuccessful
5230,5230,PASS,Away,51667,Away,38673,unsuccessful
5268,5268,PASS,Away,14736,Away,4322,unsuccessful
5297,5297,PASS,Home,560917,Home,795529,unsuccessful
5597,5597,PASS,Home,23922,Home,560917,successful
5611,5611,PASS,Home,560917,Home,795527,unsuccessful
5882,5882,PASS,Away,23418,Away,14736,successful
5902,5902,PASS,Away,14736,Away,133501,successful
5906,5906,PASS,Away,133501,Away,38673,unsuccessful
5975,5975,PASS,Home,159946,Home,957737,successful
5997,5997,PASS,Home,957737,Home,51675,successful
6039,6039,PASS,Home,51675,Home,23883,successful
6086,6086,PASS,Home,23883,Home,51008,successful
6098,6098,PASS,Home,51008,Home,159946,successful
6127,6127,PASS,Home,159946,Home,957737,successful
6167,6167,PASS,Home,957737,Home,23922,successful
6192,6192,PASS,Home,23922,Home,957737,successful
6219,6219,PASS,Home,957737,Home,159946,successful
6248,6248,PASS,Home,159946,Home,795529,successful
6305,6305,PASS,Away,133498,Away,285188,successful
6345,6345,PASS,Away,285188,Away,33697,successful
6383,6383,PASS,Away,33697,Away,51667,successful
6440,6440,PASS,Away,51667,Away,33697,successful
6463,6463,PASS,Away,33697,Away,23418,successful
6513,6513,PASS,Away,23418,Away,33697,successful
6553,6553,PASS,Away,33697,Away,23418,successful
6574,6574,PASS,Away,23418,Away,285188,successful
6618,6618,PASS,Away,285188,Away,4322,successful
6659,6659,PASS,Away,4322,Away,38673,successful
6709,6709,PASS,Away,38673,Away,14736,successful
6734,6734,PASS,Away,14736,Away,51667,successful
6761,6761,PASS,Away,51667,Away,33697,successful
6793,6793,PASS,Away,33697,Away,133498,successful
6811,6811,PASS,Away,133498,Away,33697,successful
6862,6862,PASS,Away,33697,Away,51667,successful
6921,6921,PASS,Away,51667,Away,4322,successful
6942,6942,PASS,Away,4322,Away,51667,successful
6973,6973,PASS,Away,51667,Away,285188,successful
7010,7010,PASS,Away,285188,Away,4322,successful
7057,7057,PASS,Away,51667,Away,133501,unsuccessful
7222,7222,PASS,Away,33697,Away,133498,unsuccessful
7344,7344,PASS,Away,33697,Away,51667,successful
7388,7388,PASS,Away,51667,Away,4322,successful
7422,7422,PASS,Away,4322,Away,38673,successful
7448,7448,PASS,Home,957737,Home,795527,successful
7470,7470,PASS,Home,795527,Home,23922,successful
7486,7486,PASS,Home,23922,Home,159946,successful
7544,7544,PASS,Home,159946,Home,23883,successful
7614,7614,PASS,Home,23883,Home,159946,successful
7694,7694,PASS,Home,159946,Home,957737,successful
7729,7729,PASS,Home,957737,Home,795529,unsuccessful
7848,7848,PASS,Away,285188,Away,33697,successful
7859,7859,PASS,Away,33697,Away,285188,successful
7875,7875,PASS,Away,285188,Away,33697,successful
7896,7896,PASS,Away,33697,Away,285188,successful
7916,7916,PASS,Away,285188,Away,14736,successful
7953,7953,PASS,Away,14736,Away,133501,successful
7997,7997,PASS,Away,133501,Away,163972,successful
8037,8037,PASS,Home,957737,Home,795527,successful
8079,8079,PASS,Away,163972,Away,133501,successful
8086,8086,PASS,Away,133501,Away,14736,unsuccessful
8098,8098,PASS,Home,23922,Home,560917,successful
8143,8143,PASS,Home,560917,Home,23883,successful
8185,8185,PASS,Home,23883,Home,957737,successful
8219,8219,PASS,Home,957737,Home,23883,successful
8272,8272,PASS,Home,23883,Home,159946,successful
8321,8321,PASS,Home,159946,Home,957737,successful
8356,8356,PASS,Home,957737,Home,560916,unsuccessful
8462,8462,PASS,Away,133498,Away,582974,unsuccessful
8969,8969,PASS,Home,26844,Home,51008,successful
8987,8987,PASS,Home,51008,Home,560917,successful
9004,9004,PASS,Home,560917,Home,957737,successful
9040,9040,PASS,Home,957737,Home,560916,unsuccessful
9105,9105,PASS,Away,51667,Away,4322,unsuccessful
9128,9128,PASS,Away,51667,Away,23418,successful
9141,9141,PASS,Away,23418,Away,14736,successful
9148,9148,PASS,Away,14736,Away,285188,successful
9265,9265,PASS,Home,957737,Home,23883,successful
9300,9300,PASS,Home,23883,Home,957737,successful
9349,9349,PASS,Home,957737,Home,159946,successful
9385,9385,PASS,Home,159946,Home,795529,successful
9700,9700,PASS,Home,957737,Home,23883,successful
9722,9722,PASS,Home,23883,Home,159946,successful
9757,9757,PASS,Home,159946,Home,23922,unsuccessful
9846,9846,PASS,Away,51667,Away,285188,successful
10042,10042,PASS,Home,159946,Home,957737,successful
10086,10086,PASS,Home,957737,Home,159946,successful
10115,10115,PASS,Home,159946,Home,23883,successful
10149,10149,PASS,Home,23883,Home,51008,unsuccessful
10165,10165,PASS,Away,133498,Away,23418,successful
10180,10180,PASS,Away,23418,Away,582974,successful
10196,10196,PASS,Away,582974,Away,133498,successful
10204,10204,PASS,Away,133498,Away,23418,unsuccessful
10228,10228,PASS,Home,560917,Home,957737,successful
10263,10263,PASS,Home,957737,Home,23883,successful
10293,10293,PASS,Home,23883,Home,957737,successful
10324,10324,PASS,Home,957737,Home,795527,successful
10511,10511,PASS,Home,795527,Home,795529,successful
10550,10550,PASS,Home,795529,Home,560917,successful
10580,10580,PASS,Home,560917,Home,23922,unsuccessful
10598,10598,PASS,Away,133501,Away,38673,unsuccessful
10637,10637,PASS,Home,23922,Home,957737,successful
10658,10658,PASS,Home,957737,Home,159946,successful
10735,10735,PASS,Home,159946,Home,957737,successful
10782,10782,PASS,Home,957737,Home,23922,successful
10817,10817,PASS,Home,23922,Home,957737,successful
10836,10836,PASS,Home,957737,Home,159946,successful
10869,10869,PASS,Home,159946,Home,23883,successful
10896,10896,PASS,Home,23883,Home,26844,successful
10905,10905,PASS,Home,26844,Home,795529,unsuccessful
11084,11084,PASS,Home,51008,Home,26844,unsuccessful
11243,11243,PASS,Away,33697,Away,23418,successful
11257,11257,PASS,Away,23418,Away,582974,unsuccessful
11276,11276,PASS,Home,795529,Home,23883,unsuccessful
11367,11367,PASS,Home,23883,Home,26844,unsuccessful
11567,11567,PASS,Away,133501,Away,23418,successful
11583,11583,PASS,Away,23418,Away,4322,successful
11623,11623,PASS,Away,4322,Away,582974,unsuccessful
11648,11648,PASS,Home,51008,Home,795529,successful
11958,11958,PASS,Home,159946,Home,51675,successful
11968,11968,PASS,Home,51675,Home,957737,successful
11990,11990,PASS,Home,957737,Home,23922,successful
12044,12044,PASS,Home,23922,Home,560916,unsuccessful
12081,12081,PASS,Away,23418,Away,582974,successful
12093,12093,PASS,Away,582974,Away,163972,successful
12114,12114,PASS,Away,163972,Away,133501,successful
12145,12145,PASS,Away,133501,Away,582974,unsuccessful
12169,12169,PASS,Home,957737,Home,560916,unsuccessful
12196,12196,PASS,Away,4322,Away,23418,successful
12229,12229,PASS,Away,23418,Away,4322,successful
12243,12243,PASS,Away,4322,Away,51667,successful
12264,12264,PASS,Away,51667,Away,33697,successful
12287,12287,PASS,Away,33697,Away,133498,successful
12323,12323,PASS,Away,133498,Away,33697,successful
12351,12351,PASS,Away,33697,Away,285188,successful
12382,12382,PASS,Away,285188,Away,133501,successful
12583,12583,PASS,Home,23922,Home,795527,successful
12628,12628,PASS,Away,163972,Away,4322,unsuccessful
12825,12825,PASS,Away,51667,Away,33697,successful
12860,12860,PASS,Away,33697,Away,582974,successful
12874,12874,PASS,Away,582974,Away,33697,unsuccessful
12887,12887,PASS,Home,560916,Home,795529,successful
13695,13695,PASS,Away,163972,Away,38673,successful
13712,13712,PASS,Away,38673,Away,14736,successful
13724,13724,PASS,Away,14736,Away,33697,successful
13754,13754,PASS,Away,33697,Away,51667,successful
13783,13783,PASS,Away,51667,Away,4322,unsuccessful
13825,13825,PASS,Away,14736,Away,4322,successful
13837,13837,PASS,Away,4322,Away,23418,unsuccessful
13997,13997,PASS,Away,14736,Away,4322,successful
14007,14007,PASS,Away,4322,Away,51667,successful
14033,14033,PASS,Away,51667,Away,33697,successful
14066,14066,PASS,Away,33697,Away,133501,successful
14115,14115,PASS,Away,133501,Away,14736,successful
14137,14137,PASS,Away,14736,Away,4322,successful
14155,14155,PASS,Away,4322,Away,51667,successful
14175,14175,PASS,Away,51667,Away,33697,successful
14203,14203,PASS,Away,33697,Away,133498,successful
14231,14231,PASS,Away,133498,Away,582974,unsuccessful
14456,14456,PASS,Home,159946,Home,957737,successful
14476,14476,PASS,Home,957737,Home,23922,successful
14505,14505,PASS,Home,23922,Home,560916,successful
14517,14517,PASS,Home,560916,Home,23922,unsuccessful
14546,14546,PASS,Away,14736,Away,133501,successful
14556,14556,PASS,Away,133501,Away,51667,successful
14562,14562,PASS,Away,51667,Away,,unsuccessful
14759,14759,PASS,Away,38673,Away,51667,successful
14781,14781,PASS,Away,51667,Away,285188,successful
14796,14796,PASS,Away,285188,Away,33697,successful
15079,15079,PASS,Away,23418,Away,133498,successful
15095,15095,PASS,Away,133498,Away,163972,successful
15153,15153,PASS,Home,23883,Home,795527,successful
16268,16268,PASS,Away,163972,Away,14736,successful
16293,16293,PASS,Away,14736,Away,51667,successful
16311,16311,PASS,Away,51667,Away,33697,successful
16337,16337,PASS,Away,33697,Away,163972,unsuccessful
16372,16372,PASS,Home,51008,Home,26844,unsuccessful
16392,16392,PASS,Away,23418,Away,582974,successful
16417,16417,PASS,Away,582974,Away,133498,successful
16433,16433,PASS,Away,133498,Away,,unsuccessful
16454,16454,PASS,Home,957737,Home,51675,successful
16480,16480,PASS,Home,23883,Home,795529,unsuccessful
16814,16814,PASS,Away,133501,Away,163972,successful
16831,16831,PASS,Home,957737,Home,957737,unsuccessful
16871,16871,PASS,Away,163972,Away,133501,unsuccessful
17134,17134,PASS,Home,23922,Home,,unsuccessful
17396,17396,PASS,Home,159946,Home,23883,successful
17426,17426,PASS,Home,23883,Home,795529,unsuccessful
17506,17506,PASS,Away,285188,Away,51667,successful
17521,17521,PASS,Away,51667,Away,285188,successful
17542,17542,PASS,Away,285188,Away,33697,successful
17573,17573,PASS,Away,33697,Away,582974,successful
18008,18008,PASS,Away,582974,Away,38673,unsuccessful
18025,18025,PASS,Home,957737,Home,26844,unsuccessful
18058,18058,PASS,Away,23418,Away,38673,successful
18097,18097,PASS,Away,38673,Away,163972,successful
18297,18297,PASS,Home,159946,Home,957737,successful
18326,18326,PASS,Home,957737,Home,795529,successful
18354,18354,PASS,Home,795529,Home,560917,successful
18361,18361,PASS,Home,560917,Home,795527,unsuccessful
18374,18374,PASS,Away,51667,Away,33697,unsuccessful
18422,18422,PASS,Home,795529,Home,795527,unsuccessful
18717,18717,PASS,Away,14736,Away,163972,unsuccessful
18854,18854,PASS,Home,23922,Home,795529,unsuccessful
19020,19020,PASS,Home,23922,Home,560916,successful
19031,19031,PASS,Home,560916,Home,560917,successful
19048,19048,PASS,Home,560917,Home,51008,successful
19115,19115,PASS,Home,51008,Home,560917,successful
19131,19131,PASS,Home,560917,Home,23883,successful
19153,19153,PASS,Home,23883,Home,159946,successful
19213,19213,PASS,Home,159946,Home,23883,successful
19232,19232,PASS,Home,23883,Home,560917,successful
19254,19254,PASS,Home,560917,Home,159946,successful
19280,19280,PASS,Home,159946,Home,957737,successful
19296,19296,PASS,Home,957737,Home,23922,successful
19334,19334,PASS,Home,23922,Home,795527,successful
19359,19359,PASS,Home,795527,Home,23922,successful
19385,19385,PASS,Home,23922,Home,795527,successful
19440,19440,PASS,Away,23418,Away,38673,successful
19571,19571,PASS,Away,133498,Away,582974,successful
19591,19591,PASS,Away,582974,Away,133498,successful
19615,19615,PASS,Away,133498,Away,33697,successful
19635,19635,PASS,Away,33697,Away,51667,successful
19659,19659,PASS,Away,51667,Away,4322,successful
19690,19690,PASS,Away,4322,Away,51667,successful
19723,19723,PASS,Away,51667,Away,33697,successful
19755,19755,PASS,Away,33697,Away,51667,successful
19788,19788,PASS,Away,51667,Away,4322,successful
19819,19819,PASS,Away,4322,Away,51667,successful
19839,19839,PASS,Away,51667,Away,33697,successful
19873,19873,PASS,Away,33697,Away,133498,successful
20516,20516,PASS,Away,38673,Away,582974,successful
20544,20544,PASS,Away,582974,Away,38673,unsuccessful
20566,20566,PASS,Home,560917,Home,51008,unsuccessful
20738,20738,PASS,Away,163972,Away,582974,unsuccessful
20755,20755,PASS,Home,23883,Home,560917,unsuccessful
20801,20801,PASS,Home,26844,Home,795527,successful
20908,20908,PASS,Away,14736,Away,23418,successful
20955,20955,PASS,Away,23418,Away,163972,unsuccessful
20967,20967,PASS,Home,957737,Home,795527,successful
20996,20996,PASS,Home,795527,Home,795529,successful
21672,21672,PASS,Home,23883,Home,26844,unsuccessful
21681,21681,PASS,Away,33697,Away,582974,successful
